StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
OH,0,14,0,23,48,32,23,21,0,23,24,33,36,46,28,39,0,46,22,32,19,31,28,60,35,37,26,29,54,60,32,73,78,76,54,61,30,57,37,74,20,67,47,57,21,55,53,48,39,78,48,75,16,72,42,83
WV,0,26,0,27,0,55,100,31,0,47,25,32,62,49,48,100,37,70,20,40,0,53,100,100,75,47,29,43,24,66,39,85,33,60,46,61,26,82,53,76,19,69,35,71,25,61,38,100,35,76,35,93,38,79,50,89
WV,0,14,46,36,0,64,18,23,15,14,30,41,30,60,24,41,15,46,41,48,21,48,47,54,21,44,31,32,28,67,42,75,38,58,58,66,32,71,70,80,33,63,50,84,35,65,58,83,33,68,50,76,28,81,44,97
TX,7,17,32,43,15,47,27,24,18,25,27,55,21,46,25,67,10,46,25,49,15,49,39,67,30,31,27,46,32,55,42,84,35,54,52,70,23,62,54,79,39,50,46,83,45,46,61,80,42,52,49,89,30,63,42,82
IL,6,15,26,35,15,39,16,21,20,21,21,36,31,46,26,53,19,53,20,43,21,49,36,58,43,36,28,39,31,50,28,59,28,54,38,52,28,55,41,60,35,52,38,63,37,48,46,64,41,52,45,73,32,58,49,71
KS,8,16,42,34,12,60,24,15,19,24,40,31,35,55,43,61,7,40,43,50,17,61,17,53,51,37,42,42,24,50,42,68,34,58,65,67,31,71,66,72,40,60,53,71,53,50,56,68,53,69,50,80,25,70,52,70
MO,9,12,50,49,27,43,38,27,30,24,40,46,49,69,67,64,30,85,47,57,38,62,68,74,65,56,65,50,64,69,56,85,57,67,85,66,50,71,81,80,58,70,75,88,60,56,87,75,61,66,100,90,41,75,86,90
KS,5,15,33,34,12,25,26,22,24,25,29,37,26,54,44,64,17,50,38,42,36,53,48,70,51,41,41,40,27,58,44,66,36,57,77,66,30,60,73,70,35,61,47,63,33,58,75,69,44,58,65,73,35,67,61,73
AL,11,30,75,41,26,88,13,17,17,38,30,27,34,60,36,63,13,72,22,38,27,38,36,63,62,40,25,36,25,54,25,71,26,65,28,52,24,82,28,64,42,72,35,70,41,53,41,74,45,65,40,72,24,84,50,79
MO,8,15,26,39,12,46,17,23,21,24,26,43,28,53,27,58,19,57,23,44,19,56,39,63,41,43,27,40,35,58,35,68,31,57,41,57,27,64,44,66,34,60,39,68,37,54,50,70,39,61,44,78,33,66,48,75
